I will be writing articles on different topics. | Future Continuous Tense
We had been enjoying the program thoroughly for three hours. | Past Perfect Continuous Tense
I had been shopping with my elder brother in the fair since morning. | Past Perfect Continuous Tense
I had never seen such a beautiful sunset before I went to the island. | Past Perfect Tense
We were not able to stay overnight at the hotel since we had not reserved a room in advance. | Past Perfect Tense
She had never been to the symphony before last night. | Past Perfect Tense
Marc knew Philadelphia so well because he had lived there for five years. | Past Perfect Tense
He understood the math test because he had been tutored all week. | Past Perfect Tense
I did not have any cash because I had lost my purse. | Past Perfect Tense
I had been to Mexico once before. | Past Perfect Tense
If I had seen him, I would have told him the news. | Past Perfect Tense
Before he did his homework, he had stayed after school for help. | Past Perfect Tense
She had lived in California before moving to Texas. | Past Perfect Tense
The cat had chased the bird before it flew out of the yard. | Past Perfect Tense
We had just called home when my mom texted us about returning the car. | Past Perfect Tense
She had visited several doctors before she found out what the problem was with her hand. | Past Perfect Tense
If we had called ahead, we would not have needed to wait so long for a table. | Past Perfect Tense
I am writing articles on different topics. | Present Continuous Tense
He is reading various kinds of books. | Present Continuous Tense
They are playing football now. | Present Continuous Tense
She is drinking coffee. | Present Continuous Tense
He is going to the library. | Present Continuous Tense
We are coming for shopping in this market. | Present Continuous Tense
We are watching a movie in this Cineplex. | Present Continuous Tense
You are shopping in that market. | Present Continuous Tense
I am singing different kinds of songs, especially modern. | Present Continuous Tense
I am listening to melodious songs. | Present Continuous Tense
He is traveling around the world. | Present Continuous Tense
They are playing cricket in that field. | Present Continuous Tense
The poet is writing romantic poems. | Present Continuous Tense
The lyricist is writing realistic songs. | Present Continuous Tense
Are you listening to realistic songs? | Present Continuous Tense
I am not quarreling with you. | Present Continuous Tense
Are you coming to our home? | Present Continuous Tense
I am helping him to do the task. | Present Continuous Tense
My mom is cooking beef with cabbage. | Present Continuous Tense
Are you watching cricket on television? | Present Continuous Tense
I have been writing articles on different topics since morning. | Present Perfect Continuous Tense
He has been reading the book for two hours. | Present Perfect Continuous Tense
They have been playing football for an hour. | Present Perfect Continuous Tense
She has been finding the dress since morning. | Present Perfect Continuous Tense
He has been studying in the library for three hours. | Present Perfect Continuous Tense
We have been shopping at this fair for two hours. | Present Perfect Continuous Tense
We have been watching a movie in this Cineplex for two hours. | Present Perfect Continuous Tense
You have been shopping in that market for three hours. | Present Perfect Continuous Tense
I have been singing different kinds of songs, especially modern. | Present Perfect Continuous Tense
I have been listening to melodious songs for an hour. | Present Perfect Continuous Tense
He has been traveling around the world for a month. | Present Perfect Continuous Tense
They have been playing cricket in that field for five hours. | Present Perfect Continuous Tense
The poet has been writing romantic poems for several hours. | Present Perfect Continuous Tense
The lyricist has been writing realistic songs since the beginning of his career. | Present Perfect Continuous Tense
Have you been listening to realistic songs since morning? | Present Perfect Continuous Tense
I have not been watching the cricket match for an hour. | Present Perfect Continuous Tense
Have you been preparing the assignment for two hours? | Present Perfect Continuous Tense
I have been helping him to do the task for an hour. | Present Perfect Continuous Tense
My mom has been cooking for three hours. | Present Perfect Continuous Tense
I have been watching the concert for an hour. | Present Perfect Continuous Tense
My sister has already made a big cake. | Present Perfect Tense
You have grown since the last time I saw you. | Present Perfect Tense
It hasn’t drunk the water.10.I have never been to Texas. | Present Perfect Tense
I have seen that movie.11.They have bought a new car. | Present Perfect Tense
We haven’t received any mail since we were retired.12.I have studied at home for one hour. | Present Perfect Tense
They haven’t gone to the shopping center.13.There has been an accident. | Present Perfect Tense
Have they played the piano? No, they haven’t.14.People have not traveled to Venus. | Present Perfect Tense
I have known Michael since high school.15.Alex has studied two foreign languages. | Present Perfect Tense
My baby has slept since all night.16.She has learned to speak Spanish. | Present Perfect Tense
She has gone to the library. | Present Perfect Tense
You have not gone home.I have written articles on different topics. | Present Perfect Tense
He has read various kinds of books. | Present Perfect Tense
They have played football. | Present Perfect Tense
They haven’t lived here for years.She has taken coffee. | Present Perfect Tense
He has gone to the library. | Present Perfect Tense
where have I left my wallet?We have shopped in this market. | Present Perfect Tense
We have watched movies in this Cineplex. | Present Perfect Tense
My sister has lost the key to the bathroom.You have shopped in that market. | Present Perfect Tense
I have sung different kinds of songs, especially modern. | Present Perfect Tense
He has never eaten these pizzas.I have listened to melodious songs. | Present Perfect Tense
He has traveled around the world. | Present Perfect Tense
The army has attacked that city two times.They have played cricket in that field. | Present Perfect Tense
The poet has written romantic poems. | Present Perfect Tense
You have listened to Madonna in the concert.The lyricist has written realistic songs. | Present Perfect Tense
Have you listened to realistic songs? | Present Perfect Tense
Scientists have split the atom.I have not quarreled with you. | Present Perfect Tense
Have you been to this place before? | Present Perfect Tense
I have helped him to do the task. | Present Perfect Tense
My mom has cooked beef with cabbage. | Present Perfect Tense
I have watched the cricket match on television. | Present Perfect Tense
You children will be the future of this country. | Simple Future Tense
We will paint our house next week.10. He will help you tomorrow. | Simple Future Tense
You are going to cry.11. I will see you tomorrow, please wait me. | Simple Future Tense
They will write the letter to their best friend.12. They are going to dance. | Simple Future Tense
He will close the shop.13. I will go to London next week. | Simple Future Tense
She will see her friend at the weekend.14. I will be twenty seven in April. | Simple Future Tense
I will read the newspaper when I go to bus station.15. She won’t do the ironing. | Simple Future Tense
Tomorrow, the sun will rise at 6:00 am. | Simple Future Tense
They will be here in two hours. | Simple Future Tense
Will it be windy tomorrow morning? | Simple Future Tense
He will love her forever. | Simple Future Tense
She will cry. | Simple Future Tense
You will miss me in future. | Simple Future Tense
They will come here tomorrow. | Simple Future Tense
I will miss you when you move to another country. | Simple Future Tense
Mark will fix my car. | Simple Future Tense
I won’t go to the theater. | Simple Future Tense
Tomorrow, My father will apply for a new job. | Simple Future Tense
We won’t go to the theater. | Simple Future Tense
I won’t go to the cemetery. | Simple Future Tense
We are going to eat. | Simple Future Tense
We think, We will be back on Sunday from holiday. | Simple Future Tense
I will stay at home at the weekend. | Simple Future Tense
He will call me tomorrow. | Simple Future Tense
We will play basketball. | Simple Future Tense
You’ll feel better with this orange juice. | Simple Future Tense
I am afraid you won’t remember me. | Simple Future Tense
He is going to jump. | Simple Future Tense
You will go to France tomorrow. | Simple Future Tense
He is going to sleep. | Simple Future Tense
She will be a successful engineer in 3 years. | Simple Future Tense
Will you come to the party? | Simple Future Tense
When will you travel? | Simple Future Tense
You can’t carry this luggage yourself. I will help you. | Simple Future Tense
I am going to cook tonight. | Simple Future Tense
It won’t be very cold next week. | Simple Future Tense
Will it hurt? | Simple Future Tense
I will make a tea. | Simple Future Tense
She will meet with her best friends. | Simple Future Tense
They will win the game. | Simple Future Tense
She won’t watch the football match. | Simple Future Tense
They will go to the school. | Simple Future Tense
It will stay in the outside. | Simple Future Tense
We will probably win. | Simple Future Tense
I watched TV last week. | Simple Past Tense
We ate meat with my best friend yesterday. | Simple Past Tense
The bus stopped a few minutes ago. | Simple Past Tense
I met my wife 9 years ago. | Simple Past Tense
She left the school in 2010. | Simple Past Tense
He bought a new house last month. | Simple Past Tense
Did she clean her home? | Simple Past Tense
I read an interesting book last month. | Simple Past Tense
We did a lot of shopping at the shopping mall. | Simple Past Tense
He cut his finger and went to hospital. | Simple Past Tense
She finished her work at six o’clock. | Simple Past Tense
The rain stopped an hour ago. | Simple Past Tense
It discovered a new land. | Simple Past Tense
We watched a movie last weekend. | Simple Past Tense
We were good friends. | Simple Past Tense
You were at station. | Simple Past Tense
I went to bed early yesterday. | Simple Past Tense
George came home very late last night. | Simple Past Tense
I forgot my wallet. | Simple Past Tense
He had a dog last year. | Simple Past Tense
Last year I traveled to Germany. | Simple Past Tense
Two boys played with a ball. | Simple Past Tense
An old lady walked with her cat. | Simple Past Tense
A nurse brought a little girl baby to the park. | Simple Past Tense
An old man sat down and read his book. | Simple Past Tense
A large trunk came around the corner. | Simple Past Tense
She finished all the exercices. | Simple Past Tense
I enrolled to the pilates course. | Simple Past Tense
Dr Smith healed the patient. | Simple Past Tense
They bought 2 tickets for the U2 concert. | Simple Past Tense
Michael studied hard all year. | Simple Past Tense
Did you play football last day? | Simple Past Tense
I missed the class last week. | Simple Past Tense
My brother drank a glass of milk 2 hours ago. | Simple Past Tense
They had a meeting with her colleagues. | Simple Past Tense
They were students last year. | Simple Past Tense
He smoked a cigarrette. | Simple Past Tense
They lived in the Spain. | Simple Past Tense
Alex changed his place. | Simple Past Tense
I liked the film. | Simple Past Tense
Did they lose the match? | Simple Past Tense
A gardener swept up dead leaves. | Simple Past Tense
We listened to music. | Simple Past Tense
Where was she at 7 o’clock last night? | Simple Past Tense
Amelia chose to stay with her father. | Simple Past Tense
Mary forgot to turn off the light. | Simple Past Tense
I cancelled my meeting for tomorrow. | Simple Past Tense
I went to school yesterday. | Simple Past Tense
We played basketball last Sunday. | Simple Past Tense
We saw the Eiffel Tower. | Simple Past Tense
He loves to play basketball. | Simple Present Tense
He goes to school. | Simple Present Tense
Does he go to school? | Simple Present Tense
She writes an e-mail to her best friend. | Simple Present Tense
He thinks he is very handsome. | Simple Present Tense
It usually rains every day here. | Simple Present Tense
It smells very delicious in the kitchen. | Simple Present Tense
We generally sing songs all together. | Simple Present Tense
We go to a gallery every Sunday. | Simple Present Tense
The sun rises at the east. | Simple Present Tense
She goes to work by car. | Simple Present Tense
Does he write an email? | Simple Present Tense
They go to a gallery every Saturday. | Simple Present Tense
It doesn’t rain here in the summer. | Simple Present Tense
We cook every day. | Simple Present Tense
We go to the gym club together. | Simple Present Tense
You have a big house. | Simple Present Tense
Do we know each other? | Simple Present Tense
They sleep in the afternoon. | Simple Present Tense
When do they usually talk to each other? | Simple Present Tense
The children are at home. | Simple Present Tense
The earth goes round the sun. | Simple Present Tense
George brushes his teeth twice a day. | Simple Present Tense
He gets up early every day. | Simple Present Tense
They speak English in USA. | Simple Present Tense
I like reading detective stories. | Simple Present Tense
I like geography and science. | Simple Present Tense
She doesn’t study German on Monday. | Simple Present Tense
she live in Paris? | Simple Present Tense
He doesn’t teach math. | Simple Present Tense
Cats hate water. | Simple Present Tense
Every child likes an icecream. | Simple Present Tense
My mother never lies. | Simple Present Tense
The Earth is spherical. | Simple Present Tense
She doesn’t use a computer. | Simple Present Tense
It snows a lot in winter in Russia. | Simple Present Tense
We live in Texas. | Simple Present Tense
You go to holiday every summer. | Simple Present Tense
Do you like spaghetti? | Simple Present Tense
My daughter does the laundry. | Simple Present Tense
My brother takes out the trash. | Simple Present Tense
The course starts next Sunday. | Simple Present Tense
She swims every morning. | Simple Present Tense
I don’t wash the dishes. | Simple Present Tense
We see them every week. | Simple Present Tense
I don’t like tea. | Simple Present Tense
When does the train usually leave? | Simple Present Tense
She always forgets her purse. | Simple Present Tense
You don’t have children. | Simple Present Tense
I and my sister don’t see each other anymore. | Simple Present Tense
They don’t go to school tomorrow. | Simple Present Tense
She wants to be a dentist. | Simple Present Tense
Cows eat grass. | Simple Present Tense
My cat runs very fast. | Simple Present Tense
My son lives in London. | Simple Present Tense
They don’t have any money. | Simple Present Tense
She plays basketball. | Simple Present Tense
He catches the train every morning. | Simple Present Tense
My sister works at the theater. | Simple Present Tense
Michael doesn’t work. | Simple Present Tense
How often do you see George? | Simple Present Tense
She doesn’t see Peter every day. | Simple Present Tense
My boyfriend loves this song. | Simple Present Tense
My father doesn’t speak good English. | Simple Present Tense
He goes to football every day. | Simple Present Tense
California is not in the United Kingdom. | Simple Present Tense
The Queen of England lives in Buckingham Palace. | Simple Present Tense
Julie talks very fast. | Simple Present Tense
My brother’s dog barks a lot. | Simple Present Tense
Does he play tennis? | Simple Present Tense
The train leaves every morning. | Simple Present Tense
Water freezes at 0°C. | Simple Present Tense
I will be writing articles on different topics. | Future Continuous Tense
Robert will be reading various kinds of books. | Future Continuous Tense
They will be playing football in that field. | Future Continuous Tense
April will be having coffee in this coffee shop. | Future Continuous Tense
Bob will be going to the library. | Future Continuous Tense
We will be shopping in that market this Monday. | Future Continuous Tense
We will be watching a movie in this Cineplex on next Friday. | Future Continuous Tense
You will be shopping at that market tomorrow. | Future Continuous Tense
I will be singing different kinds of songs, especially modern. | Future Continuous Tense
I will be attending a program of my varsity on Friday. | Future Continuous Tense
Jeff will be traveling around the world in March. | Future Continuous Tense
They will be playing hockey in that field on Thursday. | Future Continuous Tense
The poet will be writing a romantic poem for the program. | Future Continuous Tense
The lyricist will be writing a realistic song for the film. | Future Continuous Tense
Will you be going to the concert of realistic songs? | Future Continuous Tense
I will not be attending the program because of my busy schedule. | Future Continuous Tense
Robin will be joining us at the meeting. | Future Continuous Tense
I will be helping him to do the task. | Future Continuous Tense
We will be going to enjoy the musical drama. | Future Continuous Tense
I will be arranging all the necessary materials for the program. | Future Continuous Tense
They will have been living in Paris for five years. | Future Perfect Continuous Tense
The Kid will have been sleeping since 10 PM. | Future Perfect Continuous Tense
The doctor will have been treating patients for two years. | Future Perfect Continuous Tense
He will have been reading this book since 10 AM. | Future Perfect Continuous Tense
He will be working as an engineer in this factory since January. | Future Perfect Continuous Tense
We will have been starting your business since May. | Future Perfect Continuous Tense
You will have been using my computer for five months. | Future Perfect Continuous Tense
She will have been singing songs for three hours. | Future Perfect Continuous Tense
They will have been discussing about the issue for five days. | Future Perfect Continuous Tense
They will have been writing essays for two hours. | Future Perfect Continuous Tense
He will not have been working in the factory for six months. | Future Perfect Continuous Tense
She will not have been playing games since November. | Future Perfect Continuous Tense
They will not have been using this car since March. | Future Perfect Continuous Tense
The company will not have been advertising posts for two years. | Future Perfect Continuous Tense
He will not have been listening to music for nine hours. | Future Perfect Continuous Tense
She will not have been washing her dresses since June. | Future Perfect Continuous Tense
I will not have been waiting for you for four hours. | Future Perfect Continuous Tense
He will not have been running his business since April. | Future Perfect Continuous Tense
She will not have been living here for five years. | Future Perfect Continuous Tense
Will he have been loving her for five years? | Future Perfect Continuous Tense
Will she have been studying in the new college since December? | Future Perfect Continuous Tense
Will they have been working in this factory since June? | Future Perfect Continuous Tense
Will the kids have been making a noise for three hours? | Future Perfect Continuous Tense
Will they have been using their phone since Tomorrow? | Future Perfect Continuous Tense
Will you have been eating vegetables for three months. | Future Perfect Continuous Tense
I will have written articles on different topics before you come. | Future Perfect Tense
Robert will have read various kinds of books. | Future Perfect Tense
They will have played football in that field before you reach. | Future Perfect Tense
April will have gone to the coffee shop before she comes here. | Future Perfect Tense
Bob will have gone to the library before he comes to the class. | Future Perfect Tense
We will have shopped in that market before you come home. | Future Perfect Tense
We will have watched a movie in this Cineplex before you come. | Future Perfect Tense
You will have shopped at that market before we come. | Future Perfect Tense
I will have sung different kinds of songs before you join us. | Future Perfect Tense
I will have attended the program before I come here. | Future Perfect Tense
Jeff will have traveled around the world before he comes to Bangladesh. | Future Perfect Tense
They will have played hockey in that field before you reach. | Future Perfect Tense
The poet will have written a romantic poem before the program starts. | Future Perfect Tense
The lyricist will have written a realistic song for the film. | Future Perfect Tense
Will you have gone to the concert of the realistic songs before I come? | Future Perfect Tense
I will not have attended the program because of my busy schedule. | Future Perfect Tense
Robin will have joined us at the meeting before you reach. | Future Perfect Tense
I will have helped him to do the task before the class starts. | Future Perfect Tense
We will have enjoyed the musical drama before the game show starts. | Future Perfect Tense
I will have arranged all the necessary materials before the program starts. | Future Perfect Tense
I was writing articles on different topics. | Past Continuous Tense
He was reading various kinds of books. | Past Continuous Tense
They were playing football in that field. | Past Continuous Tense
She was drinking coffee in that coffee shop. | Past Continuous Tense
He was studying in the library. | Past Continuous Tense
We were shopping in this market last week. | Past Continuous Tense
We were watching a movie in this Cineplex yesterday. | Past Continuous Tense
You were shopping in that market. | Past Continuous Tense
I was singing different kinds of songs, especially modern. | Past Continuous Tense
I was listening to melodious songs last evening. | Past Continuous Tense
He was traveling around the world. | Past Continuous Tense
They were playing hockey on that field last week. | Past Continuous Tense
The poet was writing a romantic poem. | Past Continuous Tense
The lyricist was writing a realistic song for the program. | Past Continuous Tense
Were you enjoying the concert of realistic songs? | Past Continuous Tense
I was not watching the cricket match on television. | Past Continuous Tense
He was practicing to sing the song for the program. | Past Continuous Tense
I was helping him to do the task. | Past Continuous Tense
We were enjoying the program thoroughly. | Past Continuous Tense
I was shopping at the Dhaka International Trade Fair with my elder brother. | Past Continuous Tense
I had been writing articles on various topics for three hours. | Past Perfect Continuous Tense
He had been reading different kinds of books since morning. | Past Perfect Continuous Tense
They had been playing football in that field before it started to rain. | Past Perfect Continuous Tense
Jane had been gossiping in the coffee shop for two hours. | Past Perfect Continuous Tense
Jeff had been studying in the library before he came to the class. | Past Perfect Continuous Tense
We had been shopping in that shop before we came home. | Past Perfect Continuous Tense
We had been watching a movie in this Cineplex for three hours. | Past Perfect Continuous Tense
You had been shopping in that market before you came home. | Past Perfect Continuous Tense
I had been singing different kinds of songs for an hour. | Past Perfect Continuous Tense
I had been listening to melodious songs for two hours. | Past Perfect Continuous Tense
Tom had been traveling around the world since the month of December. | Past Perfect Continuous Tense
They had been playing hockey on that field for three hours. | Past Perfect Continuous Tense
The poet had been writing romantic poems since morning. | Past Perfect Continuous Tense
The lyricist had been writing realistic songs since the beginning of his career. | Past Perfect Continuous Tense
Had you not been enjoying the concert for three hours? | Past Perfect Continuous Tense
I had not been watching the cricket match on television for two hours. | Past Perfect Continuous Tense
Richard had been practicing to sing the song since morning. | Past Perfect Continuous Tense
I had been helping him to do the task before I started the program. | Past Perfect Continuous Tense
We had been enjoying the program thoroughly for three hours. | Past Perfect Continuous Tense
I had been shopping with my elder brother in the fair since morning. | Past Perfect Continuous Tense
I had never seen such a beautiful sunset before I went to the island. | Past Perfect Tense
We were not able to stay overnight at the hotel since we had not reserved a room in advance. | Past Perfect Tense
She had never been to the symphony before last night. | Past Perfect Tense
Marc knew Philadelphia so well because he had lived there for five years. | Past Perfect Tense
He understood the math test because he had been tutored all week. | Past Perfect Tense
I did not have any cash because I had lost my purse. | Past Perfect Tense
I had been to Mexico once before. | Past Perfect Tense
If I had seen him, I would have told him the news. | Past Perfect Tense
Before he did his homework, he had stayed after school for help. | Past Perfect Tense
She had lived in California before moving to Texas. | Past Perfect Tense
The cat had chased the bird before it flew out of the yard. | Past Perfect Tense
We had just called home when my mom texted us about returning the car. | Past Perfect Tense
She had visited several doctors before she found out what the problem was with her hand. | Past Perfect Tense
If we had called ahead, we would not have needed to wait so long for a table. | Past Perfect Tense
I am writing articles on different topics. | Present Continuous Tense
He is reading various kinds of books. | Present Continuous Tense
They are playing football now. | Present Continuous Tense
She is drinking coffee. | Present Continuous Tense
He is going to the library. | Present Continuous Tense
We are coming for shopping in this market. | Present Continuous Tense
We are watching a movie in this Cineplex. | Present Continuous Tense
You are shopping in that market. | Present Continuous Tense
I am singing different kinds of songs, especially modern. | Present Continuous Tense
I am listening to melodious songs. | Present Continuous Tense
He is traveling around the world. | Present Continuous Tense
They are playing cricket in that field. | Present Continuous Tense
The poet is writing romantic poems. | Present Continuous Tense
The lyricist is writing realistic songs. | Present Continuous Tense
Are you listening to realistic songs? | Present Continuous Tense
I am not quarreling with you. | Present Continuous Tense
Are you coming to our home? | Present Continuous Tense
I am helping him to do the task. | Present Continuous Tense
My mom is cooking beef with cabbage. | Present Continuous Tense
Are you watching cricket on television? | Present Continuous Tense
I have been writing articles on different topics since morning. | Present Perfect Continuous Tense
He has been reading the book for two hours. | Present Perfect Continuous Tense
They have been playing football for an hour. | Present Perfect Continuous Tense
She has been finding the dress since morning. | Present Perfect Continuous Tense
He has been studying in the library for three hours. | Present Perfect Continuous Tense
We have been shopping at this fair for two hours. | Present Perfect Continuous Tense
We have been watching a movie in this Cineplex for two hours. | Present Perfect Continuous Tense
You have been shopping in that market for three hours. | Present Perfect Continuous Tense
I have been singing different kinds of songs, especially modern. | Present Perfect Continuous Tense
I have been listening to melodious songs for an hour. | Present Perfect Continuous Tense
He has been traveling around the world for a month. | Present Perfect Continuous Tense
They have been playing cricket in that field for five hours. | Present Perfect Continuous Tense
The poet has been writing romantic poems for several hours. | Present Perfect Continuous Tense
The lyricist has been writing realistic songs since the beginning of his career. | Present Perfect Continuous Tense
Have you been listening to realistic songs since morning? | Present Perfect Continuous Tense
I have not been watching the cricket match for an hour. | Present Perfect Continuous Tense
Have you been preparing the assignment for two hours? | Present Perfect Continuous Tense
I have been helping him to do the task for an hour. | Present Perfect Continuous Tense
My mom has been cooking for three hours. | Present Perfect Continuous Tense
I have been watching the concert for an hour. | Present Perfect Continuous Tense
My sister has already made a big cake. | Present Perfect Tense
You have grown since the last time I saw you. | Present Perfect Tense
It hasn’t drunk the water.10.I have never been to Texas. | Present Perfect Tense
I have seen that movie.11.They have bought a new car. | Present Perfect Tense
We haven’t received any mail since we were retired.12.I have studied at home for one hour. | Present Perfect Tense
They haven’t gone to the shopping center.13.There has been an accident. | Present Perfect Tense
Have they played the piano? No, they haven’t.14.People have not traveled to Venus. | Present Perfect Tense
I have known Michael since high school.15.Alex has studied two foreign languages. | Present Perfect Tense
My baby has slept since all night.16.She has learned to speak Spanish. | Present Perfect Tense
She has gone to the library. | Present Perfect Tense
You have not gone home.I have written articles on different topics. | Present Perfect Tense
He has read various kinds of books. | Present Perfect Tense
They have played football. | Present Perfect Tense
They haven’t lived here for years.She has taken coffee. | Present Perfect Tense
He has gone to the library. | Present Perfect Tense
where have I left my wallet?We have shopped in this market. | Present Perfect Tense
We have watched movies in this Cineplex. | Present Perfect Tense
My sister has lost the key to the bathroom.You have shopped in that market. | Present Perfect Tense
I have sung different kinds of songs, especially modern. | Present Perfect Tense
He has never eaten these pizzas.I have listened to melodious songs. | Present Perfect Tense
He has traveled around the world. | Present Perfect Tense
The army has attacked that city two times.They have played cricket in that field. | Present Perfect Tense
The poet has written romantic poems. | Present Perfect Tense
You have listened to Madonna in the concert.The lyricist has written realistic songs. | Present Perfect Tense
Have you listened to realistic songs? | Present Perfect Tense
Scientists have split the atom.I have not quarreled with you. | Present Perfect Tense
Have you been to this place before? | Present Perfect Tense
I have helped him to do the task. | Present Perfect Tense
My mom has cooked beef with cabbage. | Present Perfect Tense
I have watched the cricket match on television. | Present Perfect Tense
You children will be the future of this country. | Simple Future Tense
We will paint our house next week.10. He will help you tomorrow. | Simple Future Tense
You are going to cry.11. I will see you tomorrow, please wait me. | Simple Future Tense
